,resp_N,resp_Y
상품명_LTE 데이터 선택 38.3,,
상품명_OTS 라이트_ICOD,-0.011091035,0.011091035
상품명_OTS 라이트_ICOD_기존,0.019260599,-0.019260599
상품명_OTS 슬림_DnP,-0.008098497,0.008098497
상품명_OTS 슬림_ICOD,-0.018249355,0.018249355
상품명_OTS 슬림_ICOD_기존,-0.008671264,0.008671264
상품명_OTS 에센스_ICOD,0.007893413,-0.007893413
상품명_OTS 에센스_ICOD_기존,-0.011453898,0.011453898
상품명_OTV Biz 슬림_숙박업소용,,
상품명_OTV Biz 슬림_일반매장용,-0.008098497,0.008098497
상품명_OTV 라이트,-0.036816699,0.036816699
상품명_OTV 무비,-0.005875264,0.005875264
상품명_OTV 무비플러스,,
상품명_OTV 슬림,0.031323269,-0.031323269
상품명_OTV 에센스,-0.035291983,0.035291983
상품명_OTV 엔터,-0.029604313,0.029604313
상품명_OTV 키즈,-0.014029197,0.014029197
상품명_VOD(베이직패키지),,
상품명_biz 이너텔(별정3호),,
상품명_biz 인터넷전화 Centrex,-0.018114442,0.018114442
상품명_olleh tv GiGA UHD,,
상품명_olleh tv mobile,-0.008098497,0.008098497
상품명_tv 고급형(OTV 에센스),0.001769049,-0.001769049
상품명_tv 교육형 TV용 기본팩,0.019260599,-0.019260599
상품명_tv 비즈형 숙박업소용(기본팩),-0.014029197,0.014029197
상품명_tv 비즈형 일반매장용(기본팩),-0.002518036,0.002518036
상품명_tv 선택형,-0.004407484,0.004407484
상품명_tv 스카이(올라잇)_기존_ICOD,0.001769049,-0.001769049
상품명_tv 스카이(올라잇)_신규_ICOD,-0.002974592,0.002974592
상품명_tv 스탠다드 (DnP),-0.008098497,0.008098497
상품명_tv 스탠다드 (ICOD),0.01230017,-0.01230017
상품명_tv 스탠다드 기존 (DnP),,
상품명_tv 스탠다드 기존 (ICOD),0.006363915,-0.006363915
상품명_tv 올라잇,-0.006454133,0.006454133
상품명_tv 이코노미 (DnP),0.019260599,-0.019260599
상품명_tv 이코노미 (ICOD),0.007781846,-0.007781846
상품명_tv 이코노미 기존 (DnP),,
상품명_tv 이코노미 기존 (ICOD),0.013074254,-0.013074254
상품명_tv 프리미엄 (DnP),,
상품명_tv 프리미엄 (ICOD),0.006116034,-0.006116034
상품명_tv 프리미엄 기존 (ICOD),0.019260599,-0.019260599
상품명_tv(기본형),-0.01133945,0.01133945
상품명_tv(실속형),-0.001868174,0.001868174
상품명_기가 인터넷 최대 1G,-0.005091387,0.005091387
상품명_기가 인터넷 최대 500M,-0.059964671,0.059964671
상품명_비즈형_OTS슬림_숙박업소용_ICOD,,
상품명_비즈형_OTS슬림_일반매장용_ICOD,,
상품명_스마트홈 폰,0.001769049,-0.001769049
상품명_오피스IP넷 유동IP(500M),,
상품명_올레 인터넷,0.072805307,-0.072805307
상품명_인터넷 ADSL HomeNet,,
상품명_인터넷 ADSL Lite,-0.009509604,0.009509604
상품명_인터넷 ADSL Lite(Premium),-0.001054768,0.001054768
상품명_인터넷 ADSL ONLY Lite,0.002255961,-0.002255961
상품명_인터넷 ADSL ONLY Lite(Premium),-0.008448322,0.008448322
상품명_인터넷 ADSL ONLY 우리아기생애최초,,
상품명_인터넷 Check-Line Only,0.019260599,-0.019260599
상품명_인터넷 Infra,-0.008098497,0.008098497
상품명_인터넷 Special (HomeNET-E),-0.008098497,0.008098497
상품명_인터넷 Special (Ntopia-E),0.000215254,-0.000215254
상품명_인터넷 Special (Ntopia-Home),0.019260599,-0.019260599
상품명_인터넷 Special-Ⅰ,0.009600183,-0.009600183
상품명_인터넷 Special-ⅠOnly,0.013196604,-0.013196604
상품명_인터넷 올라잇(only),0.019344899,-0.019344899
상품명_인터넷 최대 100M,0.02805997,-0.02805997
상품명_인터넷 최대 200M,,
상품명_인터넷-Check Line,0.019260599,-0.019260599
상품명_인터넷선불_100M(3개월),0.019260599,-0.019260599
상품명_인터넷전화 Home,0.016306066,-0.016306066
상품명_일반전화,-0.002541784,0.002541784
계약상태_사용중,-0.110156033,0.110156033
계약상태_정지중,0.111131079,-0.111131079
계약상태_해지,-0.008098497,0.008098497
핸드폰유형__,,
핸드폰유형_스마트폰,,
장비모델명_AP 홈허브,0.001153725,-0.001153725
장비모델명_AP 홈허브 스페셜,-0.007675952,0.007675952
장비모델명_AP 홈허브 스페셜(약정제),0.000489224,-0.000489224
장비모델명_APT_AT-916B,,
장비모델명_APT_AT-916W,,
장비모델명_APT_AT-920,-0.008098497,0.008098497
장비모델명_APT_AT-S900,-0.008098497,0.008098497
장비모델명_APT_AT-S900B,,
장비모델명_APT_AT-S900R,-0.021436643,0.021436643
장비모델명_APT_AT-S900S,-0.018114442,0.018114442
장비모델명_APT_AT-S900W,,
장비모델명_APT_AT-S915R,-0.016200785,0.016200785
장비모델명_APT_AT-S915S,,
장비모델명_APT_AT05-704V,0.003065518,-0.003065518
장비모델명_APT_AT201-008W,0.024849723,-0.024849723
장비모델명_APT_AT201-803D,0.001769049,-0.001769049
장비모델명_APT_AT202-207W,-0.005875264,0.005875264
장비모델명_APT_AT202-207WA,0.014535316,-0.014535316
장비모델명_APT_AT202-906DCG,,
장비모델명_APT_AT202-906DCP,0.002502398,-0.002502398
장비모델명_APT_AT202-906DG,-0.008098497,0.008098497
장비모델명_APT_AT202-906DP,,
장비모델명_APT_AT203-003D,0.009600183,-0.009600183
장비모델명_APT_AT203-308W,0.00670269,-0.00670269
장비모델명_APT_AT204-505D,-0.013556446,0.013556446
장비모델명_APT_AT602-906D,,
장비모델명_APT_KA-1010A,0.024847464,-0.024847464
장비모델명_BJN_BJ501-307,0.001769049,-0.001769049
장비모델명_BP-210F,-0.005875264,0.005875264
장비모델명_BP-310,-0.013157767,0.013157767
장비모델명_DAS_925KI(펌웨어업그레이드된 단말),-0.008098497,0.008098497
장비모델명_DAS_DS201-810W,0.034976803,-0.034976803
장비모델명_DAS_H965KL,0.002502398,-0.002502398
장비모델명_DAV_DV202-207,,
장비모델명_DMT-3900HDIP,0.003540584,-0.003540584
장비모델명_DMT-3900MBS,-0.005875264,0.005875264
장비모델명_DMT-4900DCS,,
장비모델명_DMT-4900HDIP,0.012766009,-0.012766009
장비모델명_DMT-6900HDIP,,
장비모델명_DMT-6900ICOD,0.021316306,-0.021316306
장비모델명_DSB-5010N,-0.008098497,0.008098497
장비모델명_EV201-808D,-0.008098497,0.008098497
장비모델명_EV201-909W,-0.006059876,0.006059876
장비모델명_GiGA Genie2_레드(임대)_KAO_CT1101_LR,0.007893413,-0.007893413
장비모델명_GiGA Genie2_민트(임대)_KAO_CT1101_LM,-0.014029197,0.014029197
장비모델명_GiGA Genie2_블루(임대)_KAO_CT1101_LB,-0.016200785,0.016200785
장비모델명_GiGA Genie2_차콜그레이(임대)_KAO_CT1101_LG,-0.046030843,0.046030843
장비모델명_GiGA Genie2_화이트(임대)_KAO_CT1101_LW,-0.014029197,0.014029197
장비모델명_GiGA Genie_본체_레드 KAO_CT1100-LR,0.006141426,-0.006141426
장비모델명_GiGA Genie_본체_블랙 KAO_CT1100-LB,-0.034920031,0.034920031
장비모델명_GiGA Genie_본체_화이트 KAO_CT1100-LW,-0.018736373,0.018736373
장비모델명_GiGA WiFi home,-0.057657857,0.057657857
장비모델명_GiGA WiFi premium,-0.014029197,0.014029197
장비모델명_H955K,-0.002518036,0.002518036
장비모델명_H965K,0.006116034,-0.006116034
장비모델명_HMX_BP-310L,-0.003562152,0.003562152
장비모델명_HMX_BP-4000,0.0083613,-0.0083613
장비모델명_HMX_TS110,0.019260599,-0.019260599
장비모델명_HMX_UHD-S1,-0.037089791,0.037089791
장비모델명_HY1_HY202-207,-0.008098497,0.008098497
장비모델명_IP공유기,-0.000100686,0.000100686
장비모델명_KAO_CT1107_LG_차콜그레이,-0.008098497,0.008098497
장비모델명_KAO_IC1000,-0.006066087,0.006066087
장비모델명_KAO_IC1100,-0.017017697,0.017017697
장비모델명_KAO_NA2200,0.024651723,-0.024651723
장비모델명_KFT_EV202-003D,0.001769049,-0.001769049
장비모델명_KFT_EV202-005W,-0.016200785,0.016200785
장비모델명_LG-F750K,,
장비모델명_LGM-X320K,,
장비모델명_LGN_KA-1020L,0.001769049,-0.001769049
장비모델명_LGN_KA-1021L,,
장비모델명_LGN_KA-3000L,,
장비모델명_LGN_KA-4000L,-0.008098497,0.008098497
장비모델명_LGN_LN101-806D,-0.008098497,0.008098497
장비모델명_LGN_LN201-805D,-0.011091035,0.011091035
장비모델명_LGN_LN201-810W,0.006116034,-0.006116034
장비모델명_LGN_LN202-003D,0.012190912,-0.012190912
장비모델명_LGN_LN202-007W,-0.008098497,0.008098497
장비모델명_LGN_LN301-806D,-0.011453898,0.011453898
장비모델명_LGT_GT-9183G,,
장비모델명_LGT_GT-9183S,-0.011453898,0.011453898
장비모델명_LGT_GT-9184,-0.002518036,0.002518036
장비모델명_LGT_GT-9187,0.011164714,-0.011164714
장비모델명_LGT_GT-9633,-0.011453898,0.011453898
장비모델명_LSH537,0.019260599,-0.019260599
장비모델명_LSH537I,0.017567295,-0.017567295
장비모델명_LSH630,-0.016200785,0.016200785
장비모델명_MMM_IP255FA,-0.008098497,0.008098497
장비모델명_MMM_IP370S,-0.011453898,0.011453898
장비모델명_MMM_IP375H,-0.008098497,0.008098497
장비모델명_MMM_MS01-706V,-0.000745426,0.000745426
장비모델명_MMM_MWP-2500,-0.008098497,0.008098497
장비모델명_NA1100,0.016955046,-0.016955046
장비모델명_NA1110,0.017361681,-0.017361681
장비모델명_NA1110DCS,0.007893413,-0.007893413
장비모델명_NVT_KA-1030N,,
장비모델명_NVT_KA-1031N,0.019945791,-0.019945791
장비모델명_NVT_KAC-100N,,
장비모델명_RNC_RC102-811DB,,
장비모델명_RNC_RC102-811DW,0.019260599,-0.019260599
장비모델명_RNC_RC103-006DB,,
장비모델명_RNC_RC103-006DW,,
장비모델명_RNC_RC501-211,,
장비모델명_SEC_GX-KT600EJ,-0.009105575,0.009105575
장비모델명_SM-G150NK,,
장비모델명_SMT-E5010,-0.01569367,0.01569367
장비모델명_SMT-E5012,0.010593081,-0.010593081
장비모델명_SMT-E5015DCS,-0.008098497,0.008098497
장비모델명_SMT-E7020I,0.019260599,-0.019260599
장비모델명_SMT_E7020,-0.008098497,0.008098497
장비모델명_SSE_ESP-30KUWKG,,
장비모델명_SSE_GX-KT601EL,-0.032293257,0.032293257
장비모델명_SSE_GX-SL602SL,-0.010369612,0.010369612
장비모델명_SSE_KA-1000S,0.007893413,-0.007893413
장비모델명_SSE_KA-2000S,,
장비모델명_SSE_OTV-SMT-E5015,0.01181,-0.01181
장비모델명_SSE_SIT-930N,0.024849723,-0.024849723
장비모델명_SSE_SIT-930NB,-0.008098497,0.008098497
장비모델명_SSE_SIT-950N,-0.008098497,0.008098497
장비모델명_SSE_SIT-950NR,-0.011453898,0.011453898
장비모델명_SSE_SIT-970N,-0.013240338,0.013240338
장비모델명_SSE_SIT-980A,,
장비모델명_SSE_SIT-990AB,,
장비모델명_SSE_SIT-990AP,0.019260599,-0.019260599
장비모델명_SSE_SMT-E5012L,0.026319018,-0.026319018
장비모델명_SSE_SMT-H6170,0.019260599,-0.019260599
장비모델명_SSE_SMT_E5015,0.00236243,-0.00236243
장비모델명_SSE_SMT_H6172,,
장비모델명_SSE_SS101-806DW,0.007893413,-0.007893413
장비모델명_SSE_SS102-806DW,,
장비모델명_SSE_SS201-804DW,0.019260599,-0.019260599
장비모델명_SSE_SS201-810W,,
장비모델명_SSE_SS202-907D,-0.003112392,0.003112392
장비모델명_SSE_SS204-003D,0.017252682,-0.017252682
장비모델명_SSE_SS205-107D,0.014396945,-0.014396945
장비모델명_SSE_SS301-806DW,-0.008098497,0.008098497
장비모델명_SSE_SS501-804DW,,
장비모델명_SSE_YP-GI2CW/KT,,
장비모델명_SSE_YP-GP1EW/KT,,
장비모델명_UDC_UD201-012W,,
장비모델명_UHD-S1DCS,,
장비모델명_WiFi 임대장비(고속AP),-0.005875264,0.005875264
장비모델명__,0.000155322,-0.000155322
장비모델명_olleh WiFi home,0.019015911,-0.019015911
장비모델명_xDSL 모뎀,0.060365743,-0.060365743
장비모델명_xDSL(인터넷선불모뎀),0.019260599,-0.019260599
장비모델명_모뎀(기가인터넷용),-0.008550532,0.008550532
장비모델명_무선랜카드_54M_11b+g(USB),-0.008098497,0.008098497
장비모델명_신용카드결제용 모뎀,0.019260599,-0.019260599
장비모델명_와이파이 패키지_GiGA WiFi home,-0.016969907,0.016969907
단말기모델상품명_LTE 스마트폰,,
단말기모델상품명_SoIP단말,0.001769049,-0.001769049
단말기모델상품명__,-0.010998103,0.010998103
단말기모델상품명_기업용인터넷전화폰(Centrex),-0.018114442,0.018114442
단말기모델상품명_통신기타단말,-0.00520084,0.00520084
단말기모델상품명_홈인터넷전화폰,0.016803282,-0.016803282
고객상세분류명_AM,,
고객상세분류명_APT,-0.042197715,0.042197715
고객상세분류명_CORE,-0.008098497,0.008098497
고객상세분류명_MASS,0.055238493,-0.055238493
고객상세분류명_가치,-0.017480755,0.017480755
고객상세분류명_법인,-0.014029197,0.014029197
번호이동전사업자코드_10001,0.000692952,-0.000692952
번호이동전사업자코드_10002,5.83E-05,-5.83E-05
번호이동전사업자코드_10003,0.027240725,-0.027240725
번호이동전사업자코드_10005,,
번호이동전사업자코드_10010,-0.01862513,0.01862513
번호이동전사업자코드_10011,,
번호이동전사업자코드_10013,-0.011453898,0.011453898
번호이동전사업자코드_10014,-0.008098497,0.008098497
번호이동전사업자코드_10015,-0.00617755,0.00617755
번호이동전사업자코드_10016,0.006396386,-0.006396386
번호이동전사업자코드_10038,,
번호이동전사업자코드__,0.00254986,-0.00254986
고객감면할인여부_N,0.010591252,-0.010591252
고객감면할인여부_Y,-0.010591252,0.010591252
복지할인여부_N,0.031234662,-0.031234662
복지할인여부_Y,-0.031234662,0.031234662
인터넷재약정사전예약여부_N,-0.001769049,0.001769049
인터넷재약정사전예약여부_Y,0.001769049,-0.001769049
인터넷패일리자회선여부_N,-0.018488346,0.018488346
인터넷패일리자회선여부_Y,0.018488346,-0.018488346
인터넷패일리모회선여부_N,0.050920627,-0.050920627
인터넷패일리모회선여부_Y,-0.050920627,0.050920627
저소득층할인여부_N,0.01230017,-0.01230017
저소득층할인여부__,-0.01230017,0.01230017
결합상품명__,0.10112097,-0.10112097
결합상품명_인터넷+tv,0.07828677,-0.07828677
결합상품명_인터넷+tv+모바일,-0.071342124,0.071342124
결합상품명_인터넷+tv+인터넷전화,0.035686444,-0.035686444
결합상품명_인터넷+tv+인터넷전화+모바일,-0.016283341,0.016283341
결합상품명_인터넷+tv+일반전화,-0.003691977,0.003691977
결합상품명_인터넷+tv+일반전화+모바일,-0.087772086,0.087772086
결합상품명_인터넷+tv+일반전화+인터넷전화,-0.012548324,0.012548324
결합상품명_인터넷+tv+일반전화+인터넷전화+모바일,-0.07661784,0.07661784
결합상품명_인터넷+모바일,-0.003594956,0.003594956
결합상품명_인터넷+인터넷전화,0.000983073,-0.000983073
결합상품명_인터넷+인터넷전화+모바일,-0.008752834,0.008752834
결합상품명_인터넷+일반전화,0.046986371,-0.046986371
결합상품명_인터넷+일반전화+모바일,-0.021979796,0.021979796
결합상품명_인터넷+일반전화+인터넷전화,0.019606629,-0.019606629
결합상품명_인터넷+일반전화+인터넷전화+WiBro,-0.008098497,0.008098497
결합상품명_인터넷+일반전화+인터넷전화+모바일,-0.022337193,0.022337193
결합상품명_인터넷+텔레캅,0.019260599,-0.019260599
결합상품명_인터넷전화+모바일,,
결합상품명_일반전화+OTV,0.006363915,-0.006363915
결합상품명_일반전화+OTV+모바일,-0.008098497,0.008098497
결합상품명_일반전화+모바일,0.002502398,-0.002502398
결합상품명_일반전화+인터넷전화,0.006363915,-0.006363915
결합할인통합코드_10001,0.082489931,-0.082489931
결합할인통합코드_10004,-0.008098497,0.008098497
결합할인통합코드_10005,,
결합할인통합코드_10006,-0.029226913,0.029226913
결합할인통합코드_10007,-0.008098497,0.008098497
결합할인통합코드_10008,-0.04614909,0.04614909
결합할인통합코드_15013,0.003475376,-0.003475376
결합할인통합코드_15014,-0.007447239,0.007447239
결합할인통합코드_15016,-0.134347019,0.134347019
결합할인통합코드__,0.085309739,-0.085309739
분석5상품수준아이디_BM00098,-0.002541784,0.002541784
분석5상품수준아이디_BM00174,,
분석5상품수준아이디_BM00205,-0.018114442,0.018114442
분석5상품수준아이디_BM00218,0.027240725,-0.027240725
분석5상품수준아이디_BM00219,0.001769049,-0.001769049
분석5상품수준아이디_BM00221,-0.003059153,0.003059153
분석5상품수준아이디_BM00222,0.002002383,-0.002002383
분석5상품수준아이디_BM00223,-0.010434365,0.010434365
분석5상품수준아이디_BM00224,0.015429917,-0.015429917
분석5상품수준아이디_BM00477,-0.001868174,0.001868174
분석5상품수준아이디_BM00479,0.001769049,-0.001769049
분석5상품수준아이디_BM00480,-0.004407484,0.004407484
분석5상품수준아이디_BM00481,0.019260599,-0.019260599
분석5상품수준아이디_BM00483,-0.01133945,0.01133945
분석5상품수준아이디_BM00503,0.009373362,-0.009373362
분석5상품수준아이디_BM00504,0.010612445,-0.010612445
분석5상품수준아이디_BM00505,0.006116034,-0.006116034
분석5상품수준아이디_BM00510,0.013074254,-0.013074254
분석5상품수준아이디_BM00511,0.006363915,-0.006363915
분석5상품수준아이디_BM00512,0.019260599,-0.019260599
분석5상품수준아이디_BM00513,-0.008098497,0.008098497
분석5상품수준아이디_BM00514,,
분석5상품수준아이디_BM00688,0.001769049,-0.001769049
분석5상품수준아이디_BM00747,0.019344899,-0.019344899
분석5상품수준아이디_BM00748,-0.006454133,0.006454133
분석5상품수준아이디_BM00751,-0.002974592,0.002974592
분석5상품수준아이디_BM00752,0.001769049,-0.001769049
분석5상품수준아이디_BM00783,,
분석5상품수준아이디_BM00906,0.073175198,-0.073175198
분석5상품수준아이디_BM00908,,
분석5상품수준아이디_BM00913,-0.006270925,0.006270925
분석5상품수준아이디_BM00914,-0.061889182,0.061889182
분석5상품수준아이디_BM00940,-0.011091035,0.011091035
분석5상품수준아이디_BM00951,-0.005875264,0.005875264
분석5상품수준아이디_BM00952,,
분석5상품수준아이디_BM00953,0.031323269,-0.031323269
분석5상품수준아이디_BM00954,-0.035291983,0.035291983
분석5상품수준아이디_BM00979,-0.021290082,0.021290082
분석5상품수준아이디_BM00980,-0.002518036,0.002518036
분석5상품수준아이디_BM00981,,
분석5상품수준아이디_BM00990,-0.003562152,0.003562152
분석5상품수준아이디_BM00992,-0.036816699,0.036816699
분석5상품수준아이디_BM00993,-0.008098497,0.008098497
분석5상품수준아이디_BM01117,-0.008098497,0.008098497
분석5상품수준아이디_BM01129,-0.029604313,0.029604313
분석5상품수준아이디_BM01152,0.008770318,-0.008770318
분석5상품수준아이디_BM01153,0.019260599,-0.019260599
분석5상품수준아이디_BM01180,0.016306066,-0.016306066
분석5상품수준아이디_BM10025,,
분석5상품수준아이디_BM10026,0.029922628,-0.029922628
분석5상품수준아이디_BM10027,-0.014029197,0.014029197
분석5상품수준아이디_BM10034,,
온라인가입구분통합코드_10003,0.013879227,-0.013879227
온라인가입구분통합코드_10004,-0.077084017,0.077084017
온라인가입구분통합코드_|,0.072006813,-0.072006813
약정기간통합코드_10010,-0.004353089,0.004353089
약정기간통합코드_10020,0.002502398,-0.002502398
약정기간통합코드_90012,0.01443202,-0.01443202
약정기간통합코드_90018,-0.011453898,0.011453898
약정기간통합코드_90024,0.011263377,-0.011263377
약정기간통합코드_90036,0.050839149,-0.050839149
약정기간통합코드_90048,-0.109573987,0.109573987
약정기간통합코드__,0.009653421,-0.009653421
셋톱박스모델명_ ,-0.009449672,0.009449672
셋톱박스모델명_BP_210F,-0.002518036,0.002518036
셋톱박스모델명_DAS_H925K,,
셋톱박스모델명_DAS_H955K,0.017567295,-0.017567295
셋톱박스모델명_DAS_H965K,0.006116034,-0.006116034
셋톱박스모델명_DAS_H965KL,-0.000745426,0.000745426
셋톱박스모델명_DM1_3900HDIP,0.006363915,-0.006363915
셋톱박스모델명_DM1_DMT_4900_HDIP,0.021449158,-0.021449158
셋톱박스모델명_DM1_HD-0304,-0.005875264,0.005875264
셋톱박스모델명_HMX_BP-310,-0.00617755,0.00617755
셋톱박스모델명_HMX_BP-310L,0.002502398,-0.002502398
셋톱박스모델명_HMX_BP-4000,0.006874057,-0.006874057
셋톱박스모델명_HMX_UHD-S1,-0.035345643,0.035345643
셋톱박스모델명_KAO_IC1000,-0.006066087,0.006066087
셋톱박스모델명_KAO_IC1100,-0.021453849,0.021453849
셋톱박스모델명_KAO_NA-1110,0.012912396,-0.012912396
셋톱박스모델명_KAO_NA1100,0.01120733,-0.01120733
셋톱박스모델명_KAO_NA2200,0.022140483,-0.022140483
셋톱박스모델명_LGT_LSH537,0.033365541,-0.033365541
셋톱박스모델명_LGT_LSH630,-0.005875264,0.005875264
셋톱박스모델명_SMT_E5010,-0.008312122,0.008312122
셋톱박스모델명_SMT_E5012,0.014535316,-0.014535316
셋톱박스모델명_SMT_E7020,0.001769049,-0.001769049
셋톱박스모델명_SSE_GX-KT600EJ,-0.006092085,0.006092085
셋톱박스모델명_SSE_GX-KT601EL,-0.030676734,0.030676734
셋톱박스모델명_SSE_GX-SL602SL,-0.014036594,0.014036594
셋톱박스모델명_SSE_OTV-SMT-E5015,-0.00798519,0.00798519
셋톱박스모델명_SSE_SMT-E5012L,0.009003448,-0.009003448
